96
2	1536
3	1435
4	1383
246	1327
410	1276
474	1222
465	1169
466	1169
538	1097
539	1098
596	1034
597	1034
612	1028
684	898
697	861
698	842
699	842
689	818
690	817
694	757
695	757
700	697
654	612
623	562
599	523
600	522
604	404
605	404
595	365
596	365
624	562
654	613
701	698
779	556
787	505
788	505
791	338
767	260
768	259
792	338
779	557
698	863
684	899
614	1029
652	1050
653	1049
474	1223
535	1241
536	1241
585	1260
586	1259
410	1277
246	1328
5	1270
6	1126
7	988
13	983
13	984
7	1046
9	781
10	721
11	575
296	507
296	508
11	607
12	489
105	328
105	329
13	352
48	301
186	108
187	108
49	303
171	275
215	246
216	246
171	276
408	1654
416	1614
417	1614
501	1655
512	1645
512	1646
576	1604
576	1605
799	1572
880	1445
912	1390
913	1390
881	1446
800	1572
515	5
980	586
982	222
982	238
983	8
